Name,Review_Count,Rating,Prices,Description,Ingredients,Cal,Nutrition,url
Silk Cut Silver King Size 20 Pack,(2),3,13.35,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296091651
Duracell Ultra AA Batteries 4 Pack,(26),4.7,5.00,Ultra power,Made in Belgium,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/251459424
Golden Virginia The Original 30G,(2),5,15.74,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295458744
Marlboro Touch 20 Pack,(2),1,10.10,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295797739
L&B Blue Bright Superkings 20 Pack,(1),5,9.29,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295447475
Lambert & Butler Bright 20 Pack,(1),5,10.49,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295315401
Rothmans Blue King Size 24 Pack,No ratings yet,Nan,11.20,Nan,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/294606250
Sterling Superking Blue 20 Pack,No ratings yet,Nan,10.14,Nan,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295626056
Loctite Super Glue 5G,(2),5,3.00,Extra long nozzle for precision applications,5g,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/250833081
Carlton Original King Size 20 Pack,(1),3,8.75,Manufactured in the EU by Imperial Tobacco Limited.,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/296058277
Players Bright 20 Pack,(1),5,9.29,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295901289
Sterling New Dual 20 Pack,No ratings yet,Nan,10.24,Sterling New Dual 20 Pack ,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/305970790
Golden Virginia Yellow 30G,No ratings yet,Nan,14.15,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295348212
Jps Real Blue 20 Pack,No ratings yet,Nan,10.14,Manufactured in the EU by Imperial Tobacco Limited.,18 Years,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295362799
Tesco A4 Punch Pockets 50 Pack,(17),4.6,1.25,"Tesco Stores Ltd.,","Wrap. Recycle
Bag. Recycle with bags at large supermarket",Nan,Nan,https://www.tesco.com/groceries/en-GB/products/259602087
Tesco 12 Cup Bun Tray,(2),3,2.50,- Teflon non-stick coating,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/295156272
Tesco Polypropylene Reporters Notebook 160 Pages,(2),2,1.75,"Tesco Stores Ltd.,",Card. Recycle,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/271660385
Swantex Red White Blue Paper Straws 80 Pack,(3),3.7,2.00,- 100% Recyclable,Nan,Nan,Nan,https://www.tesco.com/groceries/en-GB/products/302031714
